Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Stream,Comments,Description of 0,Description of 1,Description of 2,Description of 3,Description of 4,Description of 5,Description of 6,Description of 7,Description of 8,Description of 9,Title of 0,Title of 1,Title of 2,Title of 3,Title of 4,Title of 5,Title of 6,Title of 7,Title of 8,Title of 9,Composer of 0,Composer of 1,Composer of 2,Composer of 3,Composer of 4,Composer of 5,Composer of 6,Composer of 7,Composer of 8,Composer of 9,Artist of 0,Artist of 1,Artist of 2,Artist of 3,Artist of 4,Artist of 5,Artist of 6,Artist of 7,Artist of 8,Artist of 9,Channel of 0,Channel of 1,Channel of 2,Channel of 3,Channel of 4,Channel of 5,Channel of 6,Channel of 7,Channel of 8,Channel of 9,Album of 0,Album of 1,Album of 2,Album of 3,Album of 4,Album of 5,Album of 6,Album of 7,Album of 8,Album of 9,Track of 0,Track of 1,Track of 2,Track of 3,Track of 4,Track of 5,Track of 6,Track of 7,Track of 8,Track of 9,Key of 0,Key of 1,Key of 2,Key of 3,Key of 4,Key of 5,Key of 6,Key of 7,Key of 8,Key of 9,Key of 10
9.0,0.6119600489999999,-9.197397027417425,0.09552003574642631,0.004574296,0.000193,0.000633839779,0.4913203717617664,121.002,255773.0,148816999.0,937061.0,111219603.0,24156.0,7.212084592145016,8.898108602806584,9.37259615384615,9.928358208955226,9.871873093349604,10.925381903642771,10.710129310344833,10.204271631982476,10.953225806451613,10.5677146311971,0.36435045317220544,0.42525930445393534,0.46033653846153844,0.4865671641791045,0.40878584502745574,0.6692126909518213,0.6400862068965517,0.721248630887185,0.7870967741935484,0.6674727932285368,0.02175226586102719,0.05064063453325198,0.057692307692307696,0.07522388059701493,0.0726052471018914,0.0846063454759107,0.06950431034482758,0.09036144578313253,0.07311827956989247,0.07194679564691657,0.0,0.011592434411226357,0.019831730769230768,0.01253731343283582,0.010372178157413058,0.012338425381903642,0.011314655172413793,0.014238773274917854,0.016666666666666666,0.016928657799274487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.3,0.0
9.0,0.27246592202400793,-10.280663409339585,0.0912,0.016777216,0.00159,0.0045278261339793124,0.962,121.002,283396.7925588173,148816999.0,1030180.9093371686,232393899.56727022,24156.0,7.212084592145016,8.898108602806584,9.37259615384615,9.928358208955226,9.871873093349604,10.925381903642771,10.710129310344833,10.204271631982476,10.953225806451613,10.5677146311971,0.36435045317220544,0.42525930445393534,0.46033653846153844,0.4865671641791045,0.40878584502745574,0.6692126909518213,0.6400862068965517,0.721248630887185,0.7870967741935484,0.6674727932285368,0.02175226586102719,0.05064063453325198,0.057692307692307696,0.07522388059701493,0.0726052471018914,0.0846063454759107,0.06950431034482758,0.09036144578313253,0.07311827956989247,0.07194679564691657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.148035889,-10.117,0.28,6.967870999999999e-06,0.30156643574617503,0.066923416,0.38481343562749537,99.439,269125.7742371882,4140185.0,141274.896902083,44959167.0,1597.0,0.49305135951661627,0.5924344112263575,0.5637019230769231,0.724179104477612,0.565588773642465,0.5329024676850764,0.5323275862068966,0.604052573932092,0.596774193548387,0.5707376058041113,0.0,0.1610738255033557,0.171875,0.0,0.0,0.0,0.1939655172413793,0.21358159912376778,0.3209677419354839,0.19830713422007254,0.02175226586102719,0.05064063453325198,0.057692307692307696,0.07522388059701493,0.0726052471018914,0.0846063454759107,0.06950431034482758,0.09036144578313253,0.07311827956989247,0.07194679564691657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.0,0.167284151,-8.975937809724908,0.101,0.0439869769999999,0.0,0.0030486249999999,0.391,108.15168051040419,302602.0,86879213.0,703605.0,19869313.0,14291.0,0.0,0.1610738255033557,0.171875,0.14626865671641792,0.13117754728492984,0.13337250293772032,0.1939655172413793,0.21358159912376778,0.3209677419354839,0.19830713422007254,0.14441087613293052,0.1842586943258084,0.18329326923076922,0.1755223880597015,0.0,0.16745005875440658,0.17672413793103448,0.15991237677984665,0.16075268817204302,0.1795646916565901,0.0755287009063444,0.09823062843197071,0.12980769230769232,0.13791044776119402,0.12873703477730322,0.13572267920094008,0.1411637931034483,0.14129244249726178,0.12258064516129032,0.11124546553808948,0.006646525679758308,0.007321537522879805,0.012620192307692308,0.014925373134328358,0.017693715680292862,0.01527614571092832,0.016163793103448277,0.019715224534501644,0.02204301075268817,0.02418379685610641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.0,0.098611128,-7.576,0.0403,0.440711081,0.0,0.000625026375,0.45,125.9,77480.0,336379.0,9175.0,936810.0,379.0,2.954682779456193,3.3239780353874315,3.546875,3.554029850746268,3.358145210494204,3.7044653349001178,3.4876077586206895,3.616100766703177,3.782258064516129,3.7605804111245473,0.0,0.1610738255033557,0.171875,0.0,0.0,0.0,0.1939655172413793,0.21358159912376778,0.3209677419354839,0.19830713422007254,0.03202416918429003,0.0652837095790116,0.0967548076923077,0.11940298507462686,0.12385600976205004,0.1509988249118684,0.17726293103448276,0.19879518072289157,0.23333333333333334,0.2593712212817412,0.00785498489425982,0.009762050030506406,0.016826923076923076,0.013134328358208954,0.012202562538133009,0.01527614571092832,0.013469827586206896,0.01533406352683461,0.015591397849462365,0.015719467956469165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.0,0.3313738879999999,-3.59,0.0598,1.3823999999999997e-08,0.0,0.1119801679999999,0.67,103.99,162665.0,1561043.0,20905.0,7511869.0,1702.0,0.0,0.1610738255033557,0.171875,0.14626865671641792,0.13117754728492984,0.13337250293772032,0.1939655172413793,0.21358159912376778,0.3209677419354839,0.19830713422007254,0.14441087613293052,0.1842586943258084,0.18329326923076922,0.1755223880597015,0.0,0.16745005875440658,0.17672413793103448,0.15991237677984665,0.16075268817204302,0.1795646916565901,0.03202416918429003,0.0652837095790116,0.0967548076923077,0.11940298507462686,0.12385600976205004,0.1509988249118684,0.17726293103448276,0.19879518072289157,0.23333333333333334,0.2593712212817412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.381078125,-8.698,0.0412,0.008869743,0.11358067392556156,0.0032417919999999,0.784,78.235,246760.0,169467706.0,780467.0,175555647.0,20120.0,7.892447129909366,10.280658938377059,10.694110576923075,10.81313432835821,10.707748627211714,11.71680376028202,11.251616379310349,10.995618838992332,11.091397849462364,10.762998790810157,0.36435045317220544,0.42525930445393534,0.46033653846153844,0.4865671641791045,0.40878584502745574,0.6692126909518213,0.6400862068965517,0.721248630887185,0.7870967741935484,0.6674727932285368,0.02175226586102719,0.05064063453325198,0.057692307692307696,0.07522388059701493,0.0726052471018914,0.0846063454759107,0.06950431034482758,0.09036144578313253,0.07311827956989247,0.07194679564691657,0.006042296072507553,0.0,0.0078125,0.007164179104477612,0.011592434411226357,0.011750881316098707,0.009698275862068966,0.01642935377875137,0.014516129032258065,0.013301088270858524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.3296782615998412,-5.877,0.0284,0.008120601,0.0,0.008893721446735099,0.138,135.902,238200.0,158359284.75595093,2329116.0,160727214.0,108100.0,6.573413897280967,8.216595485051858,8.35576923076923,8.262089552238809,8.501525320317265,8.870152761457108,8.72844827586207,8.386089813800657,9.220967741935485,8.380894800483675,0.20604229607250754,0.24283099450884685,0.21634615384615385,0.20417910447761195,0.23672971323978034,0.18331374853113983,0.1869612068965517,0.2546549835706462,0.22473118279569892,0.16505441354292624,0.1323262839879154,0.15436241610738255,0.13521634615384615,0.13373134328358208,0.11836485661989017,0.10752056404230317,0.11422413793103449,0.08050383351588171,0.07204301075268817,0.0501813784764208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018303843807199512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.1,0.2
6.0,0.143877824,-12.644,0.0352,0.000167284151,3.21e-06,5.1064811e-05,0.69,105.35039853812432,200667.0,76845137.0,372056.0,68234180.11260983,7985.0,1.9897280966767372,2.4636973764490544,2.753605769230769,2.915820895522388,2.987797437461867,3.2749706227967095,3.2607758620689657,3.088170865279299,3.3317204301075267,3.083434099153567,0.36435045317220544,0.42525930445393534,0.46033653846153844,0.4865671641791045,0.40878584502745574,0.6692126909518213,0.6400862068965517,0.721248630887185,0.7870967741935484,0.6674727932285368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.5373677969999998,-9.02,0.0737,0.000362467097,0.109,0.665338617,0.3038028382623853,106.859,134267.0,39482284.381702945,58294.0,9999321.0,1658.0,4.491238670694864,5.118974984746796,5.49278846153846,5.380895522388061,5.661989017693716,5.7203290246768494,5.679418103448278,5.496714129244249,5.595698924731182,5.669286577992744,0.0,0.0,0.0,0.0,0.16656497864551556,0.2702702702702703,0.2413793103448276,0.31161007667031765,0.36774193548387096,0.2992744860943168,0.03202416918429003,0.0652837095790116,0.0967548076923077,0.11940298507462686,0.12385600976205004,0.1509988249118684,0.17726293103448276,0.19879518072289157,0.23333333333333334,0.2593712212817412,0.008459214501510574,0.01647345942647956,0.013822115384615384,0.016119402985074627,0.021964612568639415,0.01410105757931845,0.018318965517241378,0.016976998904709748,0.020967741935483872,0.022370012091898428,0.0,0.003050640634533252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003050640634533252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003050640634533252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
