id,Danceability
17170,5.0
17171,6.0
17172,5.0
17173,4.0
17174,4.0
17175,7.0
17176,6.0
17177,2.0
17178,5.0
17179,3.0
17180,3.0
17181,5.0
17182,5.0
17183,5.0
17184,5.0
17185,4.0
17186,5.0
17187,3.0
17188,3.0
17189,3.0
17190,8.0
17191,6.0
17192,6.0
17193,6.0
17194,3.0
17195,8.0
17196,6.0
17197,6.0
17198,9.0
17199,4.0
17200,3.0
17201,2.0
17202,1.0
17203,1.0
17204,5.0
17205,6.0
17206,4.0
17207,0.0
17208,2.0
17209,2.0
17210,5.0
17211,5.0
17212,1.0
17213,7.0
17214,5.0
17215,5.0
17216,6.0
17217,6.0
17218,7.0
17219,6.0
17220,7.0
17221,4.0
17222,5.0
17223,5.0
17224,4.0
17225,3.0
17226,5.0
17227,3.0
17228,4.0
17229,2.0
17230,2.0
17231,4.0
17232,4.0
17233,2.0
17234,3.0
17235,3.0
17236,3.0
17237,2.0
17238,0.0
17239,3.0
17240,0.0
17241,1.0
17242,1.0
17243,2.0
17244,2.0
17245,4.0
17246,5.0
17247,7.0
17248,3.0
17249,5.0
17250,2.0
17251,4.0
17252,4.0
17253,4.0
17254,6.0
17255,7.0
17256,4.0
17257,8.0
17258,4.0
17259,3.0
17260,8.0
17261,5.0
17262,7.0
17263,8.0
17264,5.0
17265,6.0
17266,5.0
17267,4.0
17268,7.0
17269,5.0
17270,6.0
17271,8.0
17272,7.0
17273,7.0
17274,7.0
17275,5.0
17276,5.0
17277,4.0
17278,6.0
17279,5.0
17280,2.0
17281,5.0
17282,0.0
17283,7.0
17284,8.0
17285,7.0
17286,7.0
17287,1.0
17288,6.0
17289,7.0
17290,6.0
17291,5.0
17292,8.0
17293,5.0
17294,7.0
17295,6.0
17296,8.0
17297,7.0
17298,7.0
17299,9.0
17300,9.0
17301,6.0
17302,7.0
17303,2.0
17304,9.0
17305,6.0
17306,6.0
17307,4.0
17308,2.0
17309,7.0
17310,5.0
17311,7.0
17312,4.0
17313,8.0
17314,9.0
17315,8.0
17316,5.0
17317,7.0
17318,5.0
17319,5.0
17320,6.0
17321,6.0
17322,5.0
17323,7.0
17324,5.0
17325,3.0
17326,5.0
17327,3.0
17328,3.0
17329,7.0
17330,4.0
17331,6.0
17332,6.0
17333,4.0
17334,3.0
17335,4.0
17336,6.0
17337,6.0
17338,5.0
17339,7.0
17340,8.0
17341,3.0
17342,4.0
17343,2.0
17344,4.0
17345,5.0
17346,5.0
17347,5.0
17348,6.0
17349,1.0
17350,7.0
17351,4.0
17352,6.0
17353,5.0
17354,7.0
17355,3.0
17356,7.0
17357,7.0
17358,6.0
17359,8.0
17360,7.0
17361,9.0
17362,6.0
17363,6.0
17364,7.0
17365,7.0
17366,3.0
17367,7.0
17368,7.0
17369,5.0
17370,9.0
17371,8.0
17372,5.0
17373,6.0
17374,5.0
17375,4.0
17376,5.0
17377,0.0
17378,2.0
17379,8.0
17380,3.0
17381,9.0
17382,7.0
17383,8.0
17384,8.0
17385,4.0
17386,8.0
17387,4.0
17388,7.0
17389,6.0
17390,7.0
17391,4.0
17392,8.0
17393,7.0
17394,5.0
17395,6.0
17396,9.0
17397,8.0
17398,4.0
17399,5.0
17400,4.0
17401,2.0
17402,5.0
17403,1.0
17404,7.0
17405,7.0
17406,5.0
17407,5.0
17408,3.0
17409,7.0
17410,4.0
17411,6.0
17412,4.0
17413,8.0
17414,7.0
